bjd_tdb,flux_rel,flux_rel_err,exptime_s,filter
61026.280762376,1.07858132,0.03956552,1.0000044,g
61026.280773951,0.96710347,0.0382156,1.0000044,g
61026.280785526,1.10874356,0.04057071,1.0000044,g
61026.280797101,1.09837143,0.0395834,1.0000044,g
61026.280808676,0.99369794,0.03807009,1.0000044,g
61026.280820251,1.00998335,0.03896301,1.0000044,g
61026.280831825,1.02570418,0.03894593,1.0000044,g
61026.2808434,1.08078347,0.03970199,1.0000044,g
61026.280854975,1.04487734,0.03832916,1.0000044,g
61026.28086655,1.01712447,0.03799315,1.0000044,g
61026.280878125,1.04086542,0.03864712,1.0000044,g
61026.2808897,1.07697527,0.03865082,1.0000044,g
61026.280901275,0.98773253,0.03828952,1.0000044,g
61026.280912849,0.96344285,0.03750166,1.0000044,g
61026.280924424,0.99435373,0.03845699,1.0000044,g
61026.280935999,1.06145778,0.03995319,1.0000044,g
61026.280947574,1.04282532,0.03847992,1.0000044,g
61026.280959149,1.01388798,0.0384944,1.0000044,g
61026.280970724,0.99611569,0.0370335,1.0000044,g
61026.280982299,1.06275778,0.03822385,1.0000044,g
61026.280993874,0.9753492,0.03754156,1.0000044,g
61026.281005448,0.95466029,0.03783112,1.0000044,g
61026.281017023,0.94310682,0.03667622,1.0000044,g
61026.281028598,0.99276984,0.03875621,1.0000044,g
61026.281040173,1.07990625,0.04028702,1.0000044,g
61026.281051748,0.92456937,0.03791193,1.0000044,g
61026.281063323,1.05643626,0.03931658,1.0000044,g
61026.281074898,0.98876041,0.03801331,1.0000044,g
61026.281086472,1.01049388,0.038361,1.0000044,g
61026.281098047,1.02326095,0.03879637,1.0000044,g
61026.281109622,0.99388315,0.03805732,1.0000044,g
61026.281121197,0.98601376,0.03846093,1.0000044,g
61026.281132772,0.97500787,0.03840296,1.0000044,g
61026.281144347,1.00486195,0.03833342,1.0000044,g
61026.281155922,0.91014284,0.03678102,1.0000044,g
61026.281167497,0.920096,0.03819039,1.0000044,g
61026.281179071,0.95507965,0.03862861,1.0000044,g
61026.281190646,0.98166893,0.0394424,1.0000044,g
61026.281202221,1.05003488,0.03941809,1.0000044,g
61026.281213796,1.01336473,0.03886486,1.0000044,g
61026.281225371,0.992758,0.03923437,1.0000044,g
61026.281236946,0.9873441,0.0397593,1.0000044,g
61026.281248521,0.94731313,0.03850268,1.0000044,g
61026.281260095,1.00049123,0.0387521,1.0000044,g
61026.28127167,0.96719499,0.03895211,1.0000044,g
61026.281283245,0.9726505,0.03902977,1.0000044,g
61026.28129482,1.00589185,0.03899039,1.0000044,g
61026.281306395,0.98835228,0.03860411,1.0000044,g
61026.28131797,0.97577362,0.03756522,1.0000044,g
61026.281329545,0.88555055,0.03649931,1.0000044,g
61026.281341119,0.96460295,0.03858278,1.0000044,g
61026.281352694,0.97798843,0.03901932,1.0000044,g
61026.281364269,0.89857678,0.03754075,1.0000044,g
61026.281375844,0.93090695,0.03727656,1.0000044,g
61026.281387419,0.99836053,0.03834052,1.0000044,g
61026.281398994,0.93077712,0.03828231,1.0000044,g
61026.281410569,0.85147285,0.03598618,1.0000044,g
61026.281422144,0.94653412,0.0371105,1.0000044,g
61026.281433718,0.85302274,0.03557394,1.0000044,g
61026.281445293,0.97635399,0.03744469,1.0000044,g
61026.281456868,0.88848839,0.03598943,1.0000044,g
61026.281468443,0.90700938,0.03667976,1.0000044,g
61026.281480018,0.88471508,0.03593345,1.0000044,g
61026.281491593,0.88646463,0.03741512,1.0000044,g
61026.281503168,0.93508598,0.03926032,1.0000044,g
61026.281514742,0.87676754,0.0375575,1.0000044,g
61026.281526317,0.94781868,0.038464,1.0000044,g
61026.281537892,0.93455995,0.03772668,1.0000044,g
61026.281549467,0.85290427,0.0356076,1.0000044,g
61026.281561042,0.8379111,0.03482453,1.0000044,g
61026.281572617,0.82946268,0.03444741,1.0000044,g
61026.281584192,0.79695153,0.03529323,1.0000044,g
61026.281595767,0.82419953,0.03465698,1.0000044,g
61026.281607341,0.81860306,0.03543923,1.0000044,g
61026.281618916,0.84104529,0.03548942,1.0000044,g
61026.281630491,0.81301706,0.03495628,1.0000044,g
61026.281642066,0.84284598,0.03602363,1.0000044,g
61026.281653641,0.81911401,0.03484718,1.0000044,g
61026.281665216,0.81414974,0.03505397,1.0000044,g
61026.281676791,0.66570026,0.03274419,1.0000044,g
61026.281688365,0.83177679,0.03684609,1.0000044,g
61026.28169994,0.80301927,0.03539009,1.0000044,g
61026.281711515,0.73322693,0.03486305,1.0000044,g
61026.28172309,0.69217901,0.03325007,1.0000044,g
61026.281734665,0.69591387,0.0335722,1.0000044,g
61026.28174624,0.7062286,0.03293666,1.0000044,g
61026.281757815,0.69337957,0.03305646,1.0000044,g
61026.28176939,0.69462968,0.03443393,1.0000044,g
61026.281780964,0.65397518,0.03396254,1.0000044,g
61026.281792539,0.70781382,0.03428696,1.0000044,g
61026.281804114,0.71803325,0.03405225,1.0000044,g
61026.281815689,0.63544315,0.03189321,1.0000044,g
61026.281827264,0.67911129,0.03255871,1.0000044,g
61026.281838839,0.6736601,0.03304737,1.0000044,g
61026.281850414,0.65276884,0.03117114,1.0000044,g
61026.281861988,0.6669812,0.03169125,1.0000044,g
61026.281873563,0.64783223,0.03211004,1.0000044,g
61026.281885138,0.59414117,0.03162145,1.0000044,g
61026.281896713,0.62119331,0.0317895,1.0000044,g
61026.281908288,0.59939257,0.03116328,1.0000044,g
61026.281919863,0.65167947,0.03194476,1.0000044,g
61026.281931438,0.58452992,0.03161846,1.0000044,g
61026.281943012,0.61975535,0.03184654,1.0000044,g
61026.281954587,0.55302994,0.03029831,1.0000044,g
